,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
493,once,948,278,84,17,2,990.0,286.5,0.0117891816920943,0.0442105263157894,0
494,or,1058,278,39,17,2,1077.5,286.5,0.0117891816920943,0.0205263157894736,0
495,twice,1125,270,105,25,2,1177.5,282.5,0.0173370319001386,0.0552631578947368,0
496,each.,1256,271,100,24,2,1306.0,283.0,0.0166435506241331,0.0526315789473684,0
497,There,1388,271,106,24,2,1441.0,283.0,0.0166435506241331,0.0557894736842105,0
498,is,1522,270,38,25,2,1541.0,282.5,0.0173370319001386,0.02,0
499,no,1585,278,41,17,2,1605.5,286.5,0.0117891816920943,0.021578947368421,0
500,obvious,1652,270,150,25,2,1727.0,282.5,0.0173370319001386,0.0789473684210526,0
501,punctuation.,0,360,256,31,2,128.0,375.5,0.0214979195561719,0.1347368421052631,0
502,Much,286,361,88,24,2,330.0,373.0,0.0166435506241331,0.0463157894736842,0
503,of,398,362,39,23,2,417.5,373.5,0.0159500693481276,0.0205263157894736,0
504,the,465,361,61,24,2,495.5,373.0,0.0166435506241331,0.0321052631578947,0
505,text,553,364,83,21,2,594.5,374.5,0.0145631067961165,0.0436842105263157,0
506,is,664,360,38,25,2,683.0,372.5,0.0173370319001386,0.02,0
507,written,726,360,154,25,2,803.0,372.5,0.0173370319001386,0.0810526315789473,0
508,in,906,360,40,25,2,926.0,372.5,0.0173370319001386,0.0210526315789473,0
509,a,970,368,19,17,2,979.5,376.5,0.0117891816920943,0.01,0
510,single,1015,360,127,31,2,1078.5,375.5,0.0214979195561719,0.0668421052631579,0
511,column,1168,361,130,24,2,1233.0,373.0,0.0166435506241331,0.0684210526315789,0
512,in,1324,360,40,25,2,1344.0,372.5,0.0173370319001386,0.0210526315789473,0
513,the,1389,361,61,24,2,1419.5,373.0,0.0166435506241331,0.0321052631578947,0
514,body,1474,361,87,29,2,1517.5,375.5,0.0201109570041608,0.0457894736842105,0
515,of,1586,362,39,23,2,1605.5,373.5,0.0159500693481276,0.0205263157894736,0
516,a,1652,368,19,17,2,1661.5,376.5,0.0117891816920943,0.01,0
517,"page,",1694,368,102,23,2,1745.0,379.5,0.0159500693481276,0.0536842105263157,0
518,with,0,450,88,25,2,44.0,462.5,0.0173370319001386,0.0463157894736842,0
519,a,112,458,19,17,2,121.5,466.5,0.0117891816920943,0.01,0
520,slightly,157,450,172,31,2,243.0,465.5,0.0214979195561719,0.0905263157894736,0
521,ragged,354,451,130,30,2,419.0,466.0,0.0208044382801664,0.0684210526315789,0
522,right,508,450,106,31,2,561.0,465.5,0.0214979195561719,0.0557894736842105,0
523,margin,638,450,132,31,2,704.0,465.5,0.0214979195561719,0.0694736842105263,0
524,and,794,451,64,24,2,826.0,463.0,0.0166435506241331,0.0336842105263157,0
525,paragraph,880,451,198,30,2,979.0,466.0,0.0208044382801664,0.1042105263157894,0
526,"divisions,",1101,450,211,29,2,1206.5,464.5,0.0201109570041608,0.1110526315789473,0
527,and,1344,451,64,24,2,1376.0,463.0,0.0166435506241331,0.0336842105263157,0
528,sometimes,1433,450,193,25,2,1529.5,462.5,0.0173370319001386,0.101578947368421,0
529,with,1650,450,88,25,2,1694.0,462.5,0.0173370319001386,0.0463157894736842,0
530,stars,1763,454,105,21,2,1815.5,464.5,0.0145631067961165,0.0552631578947368,0
531,in,4,540,40,25,2,24.0,552.5,0.0173370319001386,0.0210526315789473,0
532,the,69,541,61,24,2,99.5,553.0,0.0166435506241331,0.0321052631578947,0
533,left,157,541,83,24,2,198.5,553.0,0.0166435506241331,0.0436842105263157,0
534,larpit.,267,540,143,31,2,338.5,555.5,0.0214979195561719,0.0752631578947368,1
535,Other,441,541,106,24,2,494.0,553.0,0.0166435506241331,0.0557894736842105,0
536,text,575,544,83,21,2,616.5,554.5,0.0145631067961165,0.0436842105263157,0
537,occurs,684,547,128,18,2,748.0,556.0,0.0124826629680998,0.0673684210526315,0
538,in,840,540,40,25,2,860.0,552.5,0.0173370319001386,0.0210526315789473,0
539,charts,904,541,128,24,2,968.0,553.0,0.0166435506241331,0.0673684210526315,0
540,or,1058,548,39,17,2,1077.5,556.5,0.0117891816920943,0.0205263157894736,0
541,as,1124,547,40,18,2,1144.0,556.0,0.0124826629680998,0.0210526315789473,0
542,labels,1191,541,127,24,2,1254.5,553.0,0.0166435506241331,0.0668421052631579,0
543,associated,1344,540,218,25,2,1453.0,552.5,0.0173370319001386,0.1147368421052631,0
544,with,1584,540,88,25,2,1628.0,552.5,0.0173370319001386,0.0463157894736842,0
545,illustrations.,4,630,296,25,2,152.0,642.5,0.0173370319001386,0.1557894736842105,0
546,There,332,631,106,24,2,385.0,643.0,0.0166435506241331,0.0557894736842105,0
547,are,464,638,62,17,2,495.0,646.5,0.0117891816920943,0.0326315789473684,0
548,no,551,638,41,17,2,571.5,646.5,0.0117891816920943,0.021578947368421,0
549,indications,620,630,236,25,2,738.0,642.5,0.0173370319001386,0.1242105263157894,0
550,of,882,632,39,23,2,901.5,643.5,0.0159500693481276,0.0205263157894736,0
551,any,948,638,63,22,2,979.5,649.0,0.015256588072122,0.0331578947368421,0
552,errors,1036,637,128,18,2,1100.0,646.0,0.0124826629680998,0.0673684210526315,0
553,or,1190,638,39,17,2,1209.5,646.5,0.0117891816920943,0.0205263157894736,0
554,corrections,1256,630,238,25,2,1375.0,642.5,0.0173370319001386,0.1252631578947368,0
555,made,1518,631,86,24,2,1561.0,643.0,0.0166435506241331,0.0452631578947368,0
556,in,1632,630,40,25,2,1652.0,642.5,0.0173370319001386,0.0210526315789473,0
557,the,1697,631,61,24,2,1727.5,643.0,0.0166435506241331,0.0321052631578947,0
558,document.,1,722,189,24,2,95.5,734.0,0.0166435506241331,0.0994736842105263,0
559,The,222,722,62,24,2,253.0,734.0,0.0166435506241331,0.0326315789473684,0
560,manuscript,308,721,218,31,2,417.0,736.5,0.0214979195561719,0.1147368421052631,0
561,flows,553,722,105,24,2,605.5,734.0,0.0166435506241331,0.0552631578947368,0
562,"smoothly,",685,722,187,29,2,778.5,736.5,0.0201109570041608,0.0984210526315789,0
563,suggesting,905,721,217,31,2,1013.5,736.5,0.0214979195561719,0.1142105263157894,0
564,that,1147,722,83,24,2,1188.5,734.0,0.0166435506241331,0.0436842105263157,0
565,the,1257,722,61,24,2,1287.5,734.0,0.0166435506241331,0.0321052631578947,0
566,symbols,1345,722,149,29,2,1419.5,736.5,0.0201109570041608,0.0784210526315789,0
567,were,1518,729,86,17,2,1561.0,737.5,0.0117891816920943,0.0452631578947368,0
568,not,1629,725,63,21,2,1660.5,735.5,0.0145631067961165,0.0331578947368421,0
569,"encoded,",1718,722,166,28,2,1801.0,736.0,0.0194174757281553,0.0873684210526315,0
570,as,2,818,40,18,2,22.0,827.0,0.0124826629680998,0.0210526315789473,0
571,there,69,812,105,24,2,121.5,824.0,0.0166435506241331,0.0552631578947368,0
572,is,202,811,38,25,2,221.0,823.5,0.0173370319001386,0.02,0
573,no,265,819,41,17,2,285.5,827.5,0.0117891816920943,0.021578947368421,0
574,delay,331,812,108,29,2,385.0,826.5,0.0201109570041608,0.0568421052631578,0
575,between,462,812,154,24,2,539.0,824.0,0.0166435506241331,0.0810526315789473,0
576,characters,640,812,216,24,2,748.0,824.0,0.0166435506241331,0.1136842105263157,0
577,as,882,818,40,18,2,902.0,827.0,0.0124826629680998,0.0210526315789473,0
578,would,946,812,110,24,2,1001.0,824.0,0.0166435506241331,0.0578947368421052,0
579,normally,1079,812,174,29,2,1166.0,826.5,0.0201109570041608,0.091578947368421,0
580,be,1276,812,42,24,2,1297.0,824.0,0.0166435506241331,0.0221052631578947,0
581,expected,1344,812,174,30,2,1431.0,827.0,0.0208044382801664,0.091578947368421,0
582,in,1544,811,40,25,2,1564.0,823.5,0.0173370319001386,0.0210526315789473,0
583,written,1606,811,154,25,2,1683.0,823.5,0.0173370319001386,0.0810526315789473,0
584,encoded,2,902,152,24,2,78.0,914.0,0.0166435506241331,0.08,0
585,text.,179,905,99,21,2,228.5,915.5,0.0145631067961165,0.0521052631578947,0
586,The,310,902,62,24,2,341.0,914.0,0.0166435506241331,0.0326315789473684,0
587,text,399,905,83,21,2,440.5,915.5,0.0145631067961165,0.0436842105263157,0
588,consists,508,901,172,25,2,594.0,913.5,0.0173370319001386,0.0905263157894736,0
589,of,706,903,39,23,2,725.5,914.5,0.0159500693481276,0.0205263157894736,0
590,over,772,909,83,17,2,813.5,917.5,0.0117891816920943,0.0436842105263157,0
591,"170,000",883,905,148,25,2,957.0,917.5,0.0173370319001386,0.0778947368421052,0
592,"characters,",1058,902,232,28,2,1174.0,916.0,0.0194174757281553,0.1221052631578947,0
593,with,1320,901,88,25,2,1364.0,913.5,0.0173370319001386,0.0463157894736842,0
594,spaces,1433,908,127,24,2,1496.5,920.0,0.0166435506241331,0.0668421052631579,0
595,dividing,1585,901,175,31,2,1672.5,916.5,0.0214979195561719,0.0921052631578947,0
596,the,1785,902,61,24,2,1815.5,914.0,0.0166435506241331,0.0321052631578947,0
597,text,3,995,83,21,2,44.5,1005.5,0.0145631067961165,0.0436842105263157,0
598,into,114,991,82,25,2,155.0,1003.5,0.0173370319001386,0.0431578947368421,0
599,about,222,992,106,24,2,275.0,1004.0,0.0166435506241331,0.0557894736842105,0
600,"35,000",356,995,125,25,2,418.5,1007.5,0.0173370319001386,0.0657894736842105,0
601,groups,508,998,128,24,2,572.0,1010.0,0.0166435506241331,0.0673684210526315,0
602,of,662,993,39,23,2,681.5,1004.5,0.0159500693481276,0.0205263157894736,0
603,varying,726,991,154,31,2,803.0,1006.5,0.0214979195561719,0.0810526315789473,0
