,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
465,This,508,270,84,25,2,550.0,282.5,0.017337031900138695,0.04421052631578947,0
466,motion,616,270,132,25,2,682.0,282.5,0.017337031900138695,0.06947368421052631,0
467,was,770,277,64,18,2,802.0,286.0,0.012482662968099861,0.03368421052631579,0
468,repeated,860,271,174,30,2,947.0,286.0,0.020804438280166437,0.09157894736842105,0
469,while,1056,270,108,25,2,1110.0,282.5,0.017337031900138695,0.056842105263157895,0
470,lifting,1191,270,151,31,2,1266.5,285.5,0.021497919556171984,0.07947368421052632,0
471,the,1367,271,61,24,2,1397.5,283.0,0.016643550624133148,0.032105263157894734,0
472,halteres.,1453,271,189,24,2,1547.5,283.0,0.016643550624133148,0.09947368421052631,0
473,Halteres,67,361,173,24,2,153.5,373.0,0.016643550624133148,0.09105263157894737,0
474,were,264,368,86,17,2,307.0,376.5,0.011789181692094313,0.045263157894736845,0
475,also,376,361,84,24,2,418.0,373.0,0.016643550624133148,0.04421052631578947,0
476,used,485,361,87,24,2,528.5,373.0,0.016643550624133148,0.045789473684210526,0
477,as,596,367,40,18,2,616.0,376.0,0.012482662968099861,0.021052631578947368,0
478,dumbbells,661,361,195,24,2,758.5,373.0,0.016643550624133148,0.10263157894736842,0
479,in,884,360,40,25,2,904.0,372.5,0.017337031900138695,0.021052631578947368,0
480,rapid,948,360,108,31,2,1002.0,375.5,0.021497919556171984,0.056842105263157895,0
481,swinging,1081,360,173,31,2,1167.5,375.5,0.021497919556171984,0.09105263157894737,0
482,motions.,1276,360,168,25,2,1360.0,372.5,0.017337031900138695,0.08842105263157894,0
483,Movement,1474,364,174,21,2,1561.0,374.5,0.014563106796116505,0.09157894736842105,0
484,ranges,1674,367,128,24,2,1738.0,379.0,0.016643550624133148,0.06736842105263158,0
485,mentioned,0,450,198,25,2,99.0,462.5,0.017337031900138695,0.10421052631578948,0
