,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
520,April,1166,540,107,31,2,1219.5,555.5,0.021497919556171984,0.05631578947368421,0
521,"1915,",1301,544,99,25,2,1350.5,556.5,0.017337031900138695,0.05210526315789474,0
522,but,1430,541,64,24,2,1462.0,553.0,0.016643550624133148,0.03368421052631579,0
523,they,1521,541,84,29,2,1563.0,555.5,0.02011095700416089,0.04421052631578947,0
524,were,1628,548,86,17,2,1671.0,556.5,0.011789181692094313,0.045263157894736845,0
525,not,1739,544,63,21,2,1770.5,554.5,0.014563106796116505,0.03315789473684211,0
526,recognized,2,630,218,31,2,111.0,645.5,0.021497919556171984,0.11473684210526315,0
527,for,245,632,60,23,2,275.0,643.5,0.0159500693481276,0.031578947368421054,0
528,what,330,631,86,24,2,373.0,643.0,0.016643550624133148,0.045263157894736845,0
529,they,443,631,84,29,2,485.0,645.5,0.02011095700416089,0.04421052631578947,0
530,were.,550,638,102,17,2,601.0,646.5,0.011789181692094313,0.05368421052631579,0
531,There,684,631,106,24,2,737.0,643.0,0.016643550624133148,0.05578947368421053,0
532,are,816,638,62,17,2,847.0,646.5,0.011789181692094313,0.03263157894736842,0
533,fourteen,905,632,173,23,2,991.5,643.5,0.0159500693481276,0.09105263157894737,0
534,other,1102,631,105,24,2,1154.5,643.0,0.016643550624133148,0.05526315789473684,0
535,known,1233,631,109,24,2,1287.5,643.0,0.016643550624133148,0.057368421052631575,0
536,prediscovery,1364,630,263,31,2,1495.5,645.5,0.021497919556171984,0.13842105263157894,0
537,"observations,",2,721,276,29,2,140.0,735.5,0.02011095700416089,0.14526315789473684,0
538,with,308,721,88,25,2,352.0,733.5,0.017337031900138695,0.04631578947368421,0
539,the,421,722,61,24,2,451.5,734.0,0.016643550624133148,0.032105263157894734,0
540,oldest,508,722,128,24,2,572.0,734.0,0.016643550624133148,0.06736842105263158,0
541,made,660,722,86,24,2,703.0,734.0,0.016643550624133148,0.045263157894736845,0
542,by,770,722,43,29,2,791.5,736.5,0.02011095700416089,0.022631578947368423,0
543,the,839,722,61,24,2,869.5,734.0,0.016643550624133148,0.032105263157894734,0
544,Yerkes,925,722,129,24,2,989.5,734.0,0.016643550624133148,0.06789473684210526,0
545,Observatory,1079,722,240,29,2,1199.0,736.5,0.02011095700416089,0.12631578947368421,0
546,on,1344,729,42,17,2,1365.0,737.5,0.011789181692094313,0.022105263157894735,0
547,20,1410,725,39,21,2,1429.5,735.5,0.014563106796116505,0.020526315789473684,0
548,August,1474,725,130,27,2,1539.0,738.5,0.01872399445214979,0.06842105263157895,0
549,1909.,1631,725,99,21,2,1680.5,735.5,0.014563106796116505,0.05210526315789474,0
550,Percival's,68,811,216,25,2,176.0,823.5,0.017337031900138695,0.11368421052631579,0
551,"widow,",308,811,124,29,2,370.0,825.5,0.02011095700416089,0.06526315789473684,0
552,Constance,464,815,194,21,2,561.0,825.5,0.014563106796116505,0.10210526315789474,0
553,"Lowell,",684,812,144,28,2,756.0,826.0,0.019417475728155338,0.07578947368421053,0
554,attempted,860,812,196,30,2,958.0,827.0,0.020804438280166437,0.1031578947368421,0
555,to,1081,815,39,21,2,1100.5,825.5,0.014563106796116505,0.020526315789473684,0
556,wrest,1144,815,108,21,2,1198.0,825.5,0.014563106796116505,0.056842105263157895,0
557,the,1279,812,61,24,2,1309.5,824.0,0.016643550624133148,0.032105263157894734,0
558,observatory's,1366,812,282,29,2,1507.0,826.5,0.02011095700416089,0.14842105263157895,0
559,million-,1672,811,170,25,2,1757.0,823.5,0.017337031900138695,0.08947368421052632,0
560,dollar,1,902,128,24,2,65.0,914.0,0.016643550624133148,0.06736842105263158,0
561,portion,154,901,154,31,2,231.0,916.5,0.021497919556171984,0.08105263157894736,0
562,of,332,903,39,23,2,351.5,914.5,0.0159500693481276,0.020526315789473684,0
563,his,397,901,63,25,2,428.5,913.5,0.017337031900138695,0.03315789473684211,0
564,legacy,487,902,128,30,2,551.0,917.0,0.020804438280166437,0.06736842105263158,0
565,for,641,903,60,23,2,671.0,914.5,0.0159500693481276,0.031578947368421054,0
566,herself.,727,902,167,24,2,810.5,914.0,0.016643550624133148,0.08789473684210526,0
567,Because,925,905,151,21,2,1000.5,915.5,0.014563106796116505,0.07947368421052632,0
568,of,1102,903,39,23,2,1121.5,914.5,0.0159500693481276,0.020526315789473684,0
569,that,1169,902,83,24,2,1210.5,914.0,0.016643550624133148,0.04368421052631579,0
570,ten-year,1279,905,170,26,2,1364.0,918.0,0.018030513176144243,0.08947368421052632,0
571,legal,1477,902,104,30,2,1529.0,917.0,0.020804438280166437,0.05473684210526316,0
572,"battle,",1606,902,146,28,2,1679.0,916.0,0.019417475728155338,0.07684210526315789,0
573,the,1785,902,61,24,2,1815.5,914.0,0.016643550624133148,0.032105263157894734,0
574,search,3,992,129,24,2,67.5,1004.0,0.016643550624133148,0.06789473684210526,0
575,for,157,993,60,23,2,187.0,1004.5,0.0159500693481276,0.031578947368421054,0
576,Planet,244,992,128,24,2,308.0,1004.0,0.016643550624133148,0.06736842105263158,0
577,X,397,995,21,21,2,407.5,1005.5,0.014563106796116505,0.011052631578947368,0
578,did,441,991,65,25,2,473.5,1003.5,0.017337031900138695,0.034210526315789476,0
